Reference_PMID;PubMed_Ranking;Test_PMID;Equivalence;Relevance;First_rater;Second_rater;Stages
24204323;1;22970194;+;FALSE;+;na;Knowledge base, Target discovery
24204323;2;23468640;+;FALSE;+;na;Knowledge base, Target discovery
24204323;3;16687439;n;FALSE;n;na;(Knowledge base), Target discovery
24204323;4;26774442;++;FALSE;++;na;Knowledge base
24204323;5;25645993;-;FALSE;-;na;(Knowledge base), Target discovery
24204323;6;12554681;+;FALSE;+;na;(Knowledge base), Target discovery
24204323;7;19497791;+;TRUE;+;na;Knowledge base, Target discovery
24204323;8;16204034;-;FALSE;-;na;Knowledge base, Target discovery
24204323;9;24971578;n;FALSE;n;na;Knowledge base, Target discovery
24204323;10;19997493;-;FALSE;-;na;Knowledge base, Target discovery
24204323;11;21897851;-;FALSE;-;na;Knowledge base, Target discovery
24204323;12;18930147;+;FALSE;+;na;(Knowledge base), Target discovery
24204323;13;26581643;-;FALSE;-;na;Knowledge base, Target discovery
24204323;14;22344730;-;FALSE;-;na;Clinical findings
24204323;15;11317354;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;16;16728433;-;FALSE;-;na;(Knowledge base), Target discovery
24204323;17;18206535;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;18;21536587;-;FALSE;-;na;Knowledge base, Target discovery
24204323;19;9887339;-;FALSE;-;na;Knowledge base, Model development
24204323;20;27979358;n;FALSE;n;na;Knowledge base
24204323;21;12217951;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
24204323;22;21170307;-;FALSE;-;na;Knowledge base, Target discovery
24204323;23;15198993;n;FALSE;n;na;Knowledge base, Target discovery
24204323;24;23209427;-;FALSE;-;na;Knowledge base, Target discovery
24204323;25;28934397;+;TRUE;+;na;Knowledge base, Clinical findings, (Target discovery)
24204323;26;12091911;-;FALSE;-;na;Knowledge base, Biological function
24204323;27;19436705;n;FALSE;n;na;Knowledge base, Target discovery
24204323;28;20302627;n;FALSE;n;na;Knowledge base, Method development, Target discovery
24204323;29;26994442;n;TRUE;n;na;Knowledge base, Clinical findings
24204323;30;24443562;-;FALSE;-;na;Knowledge base, Biological function
24204323;31;27155933;-;FALSE;-;na;Knowledge base, Target discovery
24204323;32;18057311;-;FALSE;-;na;Knowledge base, Biological function
24204323;33;10429667;-;FALSE;-;na;Knowledge base, Biological function
24204323;34;16837128;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;35;20053912;-;FALSE;-;na;Knowledge base, Target discovery
24204323;36;20935170;n;TRUE;n;na;Knowledge base, Target discovery
24204323;37;10615123;-;FALSE;-;na;Knowledge base, Target discovery
24204323;38;21540131;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;39;28334820;-;FALSE;-;na;Knowledge base, Target discovery
24204323;40;22914735;n;FALSE;n;na;(Knowledge base), Target discovery
24204323;41;24191263;n;FALSE;n;na;Knowledge base, Target discovery, (Clinical findings)
24204323;42;28827832;-;FALSE;-;na;(Knowledge base), Biological function
24204323;43;23071719;n;FALSE;n;na;Knowledge base, Target discovery
24204323;44;26232222;+;TRUE;+;na;(Knowledge base), Clinical findings
24204323;45;27913616;-;FALSE;-;na;Knowledge base, Target discovery
24204323;46;17054581;-;FALSE;-;na;Knowledge base, Clinical findings
24204323;47;24403070;-;FALSE;-;na;Knowledge base, Biological function
24204323;48;18551179;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
24204323;49;22289650;-;FALSE;-;na;Knowledge base, Target discovery
24204323;50;12697826;-;FALSE;-;na;(Knowledge base), Target discovery
24204323;51;23933738;+;TRUE;+;na;na
24204323;52;15942939;-;FALSE;-;na;na
24204323;53;16260499;-;FALSE;-;na;na
24204323;54;23089356;-;FALSE;-;na;na
24204323;55;26047474;+;TRUE;+;na;na
24204323;56;9368761;-;FALSE;-;na;na
24204323;57;11901110;-;FALSE;-;na;na
24204323;58;10581038;+;FALSE;+;na;na
24204323;59;22072510;-;FALSE;-;na;na
24204323;60;21887328;-;FALSE;-;na;na
24204323;61;28453523;-;FALSE;-;na;na
24204323;62;21907095;-;FALSE;-;na;na
24204323;63;28642124;+;TRUE;+;na;na
24204323;64;11494364;-;FALSE;-;na;na
24204323;65;26333255;-;FALSE;-;na;na
24204323;66;26295712;-;FALSE;-;na;na
24204323;67;24550389;-;FALSE;-;na;na
24204323;68;18505871;-;FALSE;-;na;na
24204323;69;17715336;-;FALSE;-;na;na
24204323;70;26165466;-;FALSE;-;na;na
24204323;71;20864123;-;FALSE;-;na;na
24204323;72;16322221;-;FALSE;-;na;na
24204323;73;17409200;-;FALSE;-;na;na
24204323;74;15467433;-;FALSE;-;na;na
24204323;75;15848234;-;FALSE;-;na;na
24204323;76;24924810;-;FALSE;-;na;na
24204323;77;10627141;-;FALSE;-;na;na
24204323;78;16423994;-;FALSE;-;na;na
24204323;79;21840924;-;FALSE;-;na;na
24204323;80;24323032;-;FALSE;-;na;na
24204323;81;11063736;-;FALSE;-;na;na
24204323;82;18412970;-;FALSE;-;na;na
24204323;83;15715978;+;TRUE;+;na;na
24204323;84;23316435;-;FALSE;-;na;na
24204323;85;11154280;-;FALSE;-;na;na
24204323;86;18787700;-;FALSE;-;na;na
24204323;87;8910404;-;FALSE;-;na;na
24204323;88;9203583;-;FALSE;-;na;na
24204323;89;15475387;-;FALSE;-;na;na
24204323;90;23724141;-;FALSE;-;na;na
24204323;91;12223581;-;FALSE;-;na;na
24204323;92;10359802;-;FALSE;-;na;na
24204323;93;10434303;-;FALSE;-;na;na
24204323;94;25760041;-;FALSE;-;na;na
24204323;95;19465745;-;FALSE;-;na;na
24204323;96;12057899;-;FALSE;-;na;na
24204323;97;12895502;-;FALSE;-;na;na
24204323;98;28165127;-;FALSE;-;na;na
24204323;99;24278347;-;FALSE;-;na;na
24204323;100;27131875;-;FALSE;-;na;na
24204323;101;27044000;n;TRUE;n;na;na
21494637;1;25174890;+;FALSE;+;na;Knowledge base, Model development
21494637;2;26123485;+;FALSE;+;na;Knowledge base, Model development, (Target discovery)
21494637;3;25174649;+;FALSE;+;na;Knowledge base, Model development
21494637;4;22539006;+;FALSE;+;na;Knowledge base, (Model development), Target discovery
21494637;5;25830304;+;FALSE;+;na;(Knowledge base), Model development, Clinical findings
21494637;6;21698001;-;FALSE;-;na;Knowledge base, Model development
21494637;7;20382224;+;TRUE;+;na;Knowledge base, Model development
21494637;8;20130188;+;FALSE;+;na;Knowledge base, Model development
21494637;9;24830390;+;FALSE;+;na;(Model development), Target discovery
21494637;10;25836420;n;FALSE;n;na;Knowledge base, Model development
21494637;11;26546614;-;FALSE;-;na;Knowledge base, Target discovery
21494637;12;23813973;n;TRUE;n;na;Knowledge base, Target discovery
21494637;13;26744332;++;FALSE;++;na;Knowledge base, Model development
21494637;14;25731749;+;FALSE;+;na;Knowledge base, (Model development), Target discovery
21494637;15;21168496;-;FALSE;-;na;Knowledge base, Model development, (Target discovery)
21494637;16;21454543;-;FALSE;-;na;Knowledge base, Target discovery
21494637;17;26363496;+;FALSE;+;na;Knowledge base, Model development, Target discovery
21494637;18;29038245;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
21494637;19;28321439;+;FALSE;+;na;Knowledge base, Model development
21494637;20;22363216;-;FALSE;-;na;Knowledge base, Target discovery
21494637;21;18182054;-;FALSE;-;na;Knowledge base, Model development, Target discovery
21494637;22;26931464;+;TRUE;+;na;Knowledge base, Model development, Drug discovery
21494637;23;22357653;n;FALSE;n;na;Knowledge base, Target discovery
21494637;24;26269629;-;FALSE;-;na;Knowledge base, Model development, (Target discovery)
21494637;25;18258746;+;TRUE;+;na;Knowledge base, Model development
21494637;26;23963789;n;TRUE;n;na;Knowledge base, Model development, Drug discovery
21494637;27;20659558;n;FALSE;n;na;Knowledge base, Model development, (Target discovery)
21494637;28;22988862;+;FALSE;+;na;(Knowledge base), Model development, Target discovery
21494637;29;19741132;+;TRUE;+;na;Knowledge base, Model development, (Target discovery)
21494637;30;21248115;+(+);FALSE;+(+);na;(Knowledge base), Model development
21494637;31;23231918;-;FALSE;-;na;Knowledge base, (Target discovery)
21494637;32;19667187;+;FALSE;+;na;Knowledge base, Model development
21494637;33;20074637;-;FALSE;-;na;Knowledge base, Target discovery
21494637;34;29054882;-;FALSE;-;na;Knowledge base, Target discovery
21494637;35;23241745;-;FALSE;-;na;Knowledge base, Target discovery
21494637;36;26253900;+(+);FALSE;+(+);na;Knowledge base, Model development
21494637;37;27413152;-;FALSE;-;na;Knowledge base, Target discovery
21494637;38;22166430;L;FALSE;L;na;Knowledge base, (Model development)
21494637;39;19769964;+;TRUE;+;na;Knowledge base, Target discovery
21494637;40;25804954;+;FALSE;+;na;Knowledge base, Target discovery
21494637;41;17623048;-;FALSE;-;na;Knowledge base, Target discovery
21494637;42;28720718;+;FALSE;+;na;Knowledge base, Target discovery, Clinical findings
21494637;43;26282470;-;FALSE;-;na;Knowledge base, Target discovery
21494637;44;21972245;-;FALSE;-;na;Knowledge base, Target discovery
21494637;45;22736029;-;FALSE;-;na;Knowledge base, Target discovery
21494637;46;24459295;+;TRUE;+;na;(Knowledge base), Target discovery
21494637;47;26159606;+;TRUE;+;na;Knowledge base, Target discovery
21494637;48;26251043;-;FALSE;-;na;Knowledge base, Target discovery, (Clinical findings)
21494637;49;26651604;-;FALSE;-;na;Knowledge base, Target discovery
21494637;50;22534020;-;FALSE;-;na;Knowledge base, Model development
21494637;51;22773119;-;FALSE;-;na;na
21494637;52;24725412;+;TRUE;+;na;na
21494637;53;19545277;-;FALSE;-;na;na
21494637;54;28973664;-;FALSE;-;na;na
21494637;55;22228096;-;FALSE;-;na;na
21494637;56;24993787;-;FALSE;-;na;na
21494637;57;27023913;-;FALSE;-;na;na
21494637;58;21828077;-;FALSE;-;na;na
21494637;59;19625511;+;TRUE;+;na;na
21494637;60;28826027;L;TRUE;L;na;na
21494637;61;22315971;-;FALSE;-;na;na
21494637;62;22639965;-;FALSE;-;na;na
21494637;63;25446991;-;FALSE;-;na;na
21494637;64;26808467;+;FALSE;+;na;na
21494637;65;24025585;-;FALSE;-;na;na
21494637;66;26744328;+;TRUE;+;na;na
21494637;67;23065705;L;TRUE;L;na;na
21494637;68;27063942;+;FALSE;+;na;na
21494637;69;21238487;-;FALSE;-;na;na
21494637;70;27364102;-;FALSE;-;na;na
21494637;71;24754922;-;FALSE;-;na;na
21494637;72;24282027;-;FALSE;-;na;na
21494637;73;23646112;-;FALSE;-;na;na
21494637;74;24167564;-;FALSE;-;na;na
21494637;75;29305532;-;FALSE;-;na;na
21494637;76;22433811;-;FALSE;-;na;na
21494637;77;23455607;-;FALSE;-;na;na
21494637;78;22647713;-;FALSE;-;na;na
21494637;79;21362567;+;TRUE;+;na;na
21494637;80;18805725;-;FALSE;-;na;na
21494637;81;24652679;-;FALSE;-;na;na
21494637;82;27794539;+;TRUE;+;na;na
21494637;83;27798112;-;FALSE;-;na;na
21494637;84;22578536;n;FALSE;n;na;na
21494637;85;16269541;-;FALSE;-;na;na
21494637;86;20720502;-;FALSE;-;na;na
21494637;87;17498648;L;TRUE;L;na;na
21494637;88;25017139;-;FALSE;-;na;na
21494637;89;22988877;-;FALSE;-;na;na
21494637;90;21857923;+;TRUE;+;na;na
21494637;91;23721786;-;FALSE;-;na;na
21494637;92;17388990;-;FALSE;-;na;na
21494637;93;19025767;n;FALSE;n;na;na
21494637;94;29387348;L;TRUE;L;na;na
21494637;95;18634852;-;FALSE;-;na;na
21494637;96;20881132;-;FALSE;-;na;na
21494637;97;22615783;-;FALSE;-;na;na
21494637;98;24874075;-;FALSE;-;na;na
21494637;99;22988869;n;FALSE;n;na;na
21494637;100;23075850;-;FALSE;-;na;na
21494637;101;23396536;-;FALSE;-;na;na
21494637;102;25309331;-;FALSE;-;na;na
19735549;1;22410125;-;FALSE;-;-;Knowledge base, Target discovery
19735549;2;22025213;+;FALSE;+;+;Clinical findings, Model development
19735549;3;27446983;+;FALSE;+;L;Model development
19735549;4;22777354;-;FALSE;-;-;Knowledge base, Target discovery, Clinical findings
19735549;5;18787417;-;FALSE;-;-;(Knowledge base), Target discovery, Clinical findings
19735549;6;20458274;+;TRUE;L;+;Knowledge base, Model development, (Target discovery)
19735549;7;8712293;-;FALSE;-;-;(Knowledge base), Clinical findings
19735549;8;26343330;+;TRUE;+;+;Model development, Target discovery, Clinical findings
19735549;9;21908556;+;TRUE;L;+;(Knowledge base), Target discovery
19735549;10;7954261;-;FALSE;-;-;(Knowledge base), Clinical findings
19735549;11;24691501;-;FALSE;-;-;Knowledge base, Drug discovery
19735549;12;22751464;+;FALSE;L;+;(Knowledge base), Clinical findings, Target discovery
19735549;13;12874968;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;14;8055451;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;15;23860929;-;FALSE;-;-;Knowledge base, Method development
19735549;16;23457626;-;FALSE;L;-;Knowledge base, (Clinical findings), Target discovery
19735549;17;19920187;L;TRUE;L;L;Knowledge base, Target discovery
19735549;18;15166671;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;19;23883667;+;TRUE;L;+;Knowledge base, Clinical findings, Target discovery
19735549;20;17982119;-;FALSE;-;-;Knowledge base, Model development
19735549;21;27776557;-;FALSE;-;-;Knowledge base, (Clinical findings), Target discovery
19735549;22;25605670;+;TRUE;+;+;Knowledge base, Model development
19735549;23;9128269;-;FALSE;-;-;(Knowledge base), Clinical findings
19735549;24;17266026;-;FALSE;-;L;(Knowledge base), Target discovery
19735549;25;20421921;+;TRUE;+;+;Knowledge base, Clinical findings, Target discovery
19735549;26;11850540;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;27;18928525;-;FALSE;L;-;Knowledge base, Clinical findings
19735549;28;10945643;-;FALSE;-;L;Knowledge base, Preclinical testing
19735549;29;19218449;-;FALSE;-;-;Knowledge base, Target discovery
19735549;30;16280035;-;FALSE;-;-;Knowledge base, Model development
19735549;31;23851504;-;FALSE;L;-;(Knowledge base), (Clinical findings), Target discovery
19735549;32;28707729;+;FALSE;+;+;Target discovery
19735549;33;9816058;-;FALSE;-;-;Clinical findings
19735549;34;16033090;-;FALSE;-;-;Clinical findings
19735549;35;25077370;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;36;10478664;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;37;8816587;-;FALSE;-;-;(Knowledge base), Clinical findings
19735549;38;15593325;-;FALSE;L;-;Knowledge base, Clinical findings
19735549;39;20412586;-;FALSE;-;-;Knowledge base, Model development
19735549;40;7911998;-;FALSE;-;-;(Knowledge base), Clinical findings
19735549;41;21935747;-;FALSE;-;-;(Knowledge base), Clinical findings
19735549;42;9827718;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;43;18657193;-;FALSE;-;-;Clinical findings
19735549;44;18479514;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;45;24121271;-;FALSE;-;-;Knowledge base, Target discovery, Clinical findings
19735549;46;23208501;-;FALSE;L;-;Knowledge base, Clinical findings, Target discovery, (Drug discovery)
19735549;47;20103725;-;FALSE;-;-;Knowledge base, Drug discovery
19735549;48;7513249;-;FALSE;-;-;Knowledge base, Clinical findings
19735549;49;27589390;-;FALSE;L;-;(Knowledge base), Target discovery
19735549;50;1355464;-;FALSE;-;-;Clinical findings
19735549;51;10674443;-;FALSE;-;-;na
19735549;52;24297178;-;FALSE;L;-;na
19735549;53;21135965;+;TRUE;L;+;na
19735549;54;17134566;-;FALSE;-;-;na
19735549;55;9504685;-;FALSE;-;-;na
19735549;56;22053985;-;FALSE;-;-;na
19735549;57;15737842;-;FALSE;-;-;na
19735549;58;10481945;-;FALSE;-;-;na
19735549;59;19782135;-;FALSE;-;-;na
19735549;60;27374087;L;FALSE;L;L;na
19735549;61;26255059;-;FALSE;-;-;na
19735549;62;7473818;-;FALSE;-;-;na
19735549;63;9006344;-;FALSE;-;-;na
19735549;64;23184608;-;FALSE;-;-;na
19735549;65;11169513;-;FALSE;-;-;na
19735549;66;12784329;-;FALSE;-;-;na
19735549;67;18723312;-;FALSE;-;-;na
19735549;68;10872036;-;FALSE;-;-;na
19735549;69;17465194;-;FALSE;-;-;na
19735549;70;2536585;-;FALSE;-;-;na
19735549;71;10810403;-;FALSE;-;-;na
19735549;72;17522367;-;FALSE;-;-;na
19735549;73;23110523;-;FALSE;-;-;na
19735549;74;18223211;-;FALSE;-;-;na
19735549;75;9928552;-;FALSE;-;-;na
19735549;76;22825334;-;FALSE;-;-;na
19735549;77;19949854;-;FALSE;-;-;na
19735549;78;8646681;-;FALSE;-;-;na
19735549;79;22688217;L;FALSE;L;L;na
19735549;80;14693746;-;FALSE;-;-;na
19735549;81;9390032;-;FALSE;-;-;na
19735549;82;26215578;-;FALSE;-;-;na
19735549;83;20006623;-;FALSE;L;-;na
19735549;84;25473842;-;FALSE;L;-;na
19735549;85;27097643;-;FALSE;L;-;na
19735549;86;28549415;-;FALSE;-;-;na
19735549;87;25406584;L;TRUE;+;-;na
19735549;88;16292950;-;FALSE;-;-;na
19735549;89;21124756;-;FALSE;-;-;na
19735549;90;24371431;-;FALSE;-;L;na
19735549;91;25742185;-;FALSE;L;-;na
19735549;92;27113666;-;FALSE;-;-;na
19735549;93;25572806;L;FALSE;-;+;na
19735549;94;25264427;-;FALSE;-;-;na
19735549;95;18780960;-;FALSE;-;-;na
19735549;96;23997758;-;FALSE;-;-;na
19735549;97;26994106;-;FALSE;-;L;na
